UF,Mun,Pop estimada 2021,Faixa_pop,Regiao
PA,Marituba,135812,6 - 100001 até 500000,1 - Norte
PA,Medicilândia,32347,4 - 20001 até 50000,1 - Norte
PA,Melgaço,28121,4 - 20001 até 50000,1 - Norte
PA,Mocajuba,31917,4 - 20001 até 50000,1 - Norte
PA,Moju,84251,5 - 50001 até 100000,1 - Norte
PA,Mojuí dos Campos,16282,3 - 10001 até 20000,1 - Norte
PA,Monte Alegre,58289,5 - 50001 até 100000,1 - Norte
PA,Muaná,41454,4 - 20001 até 50000,1 - Norte
PA,Nova Esperança do Piriá,21519,4 - 20001 até 50000,1 - Norte
PA,Nova Ipixuna,17027,3 - 10001 até 20000,1 - Norte
PA,Nova Timboteua,15646,3 - 10001 até 20000,1 - Norte
PA,Novo Progresso,25769,4 - 20001 até 50000,1 - Norte
PA,Novo Repartimento,78488,5 - 50001 até 100000,1 - Norte
PA,Óbidos,52473,5 - 50001 até 100000,1 - Norte
PA,Oeiras do Pará,33182,4 - 20001 até 50000,1 - Norte
PA,Oriximiná,74921,5 - 50001 até 100000,1 - Norte
PA,Ourém,18079,3 - 10001 até 20000,1 - Norte
PA,Ourilândia do Norte,33831,4 - 20001 até 50000,1 - Norte
PA,Pacajá,49110,4 - 20001 até 50000,1 - Norte
PA,Palestina do Pará,7575,2 - 5001 até 10000,1 - Norte
PA,Paragominas,115838,6 - 100001 até 500000,1 - Norte
PA,Parauapebas,218787,6 - 100001 até 500000,1 - Norte
PA,Pau DArco,5339,2 - 5001 até 10000,1 - Norte
PA,Peixe-Boi,8084,2 - 5001 até 10000,1 - Norte
PA,Piçarra,12976,3 - 10001 até 20000,1 - Norte
PA,Placas,32325,4 - 20001 até 50000,1 - Norte
PA,Ponta de Pedras,32007,4 - 20001 até 50000,1 - Norte
PA,Portel,63831,5 - 50001 até 100000,1 - Norte
PA,Porto de Moz,42456,4 - 20001 até 50000,1 - Norte
PA,Prainha,29827,4 - 20001 até 50000,1 - Norte
PA,Primavera,10889,3 - 10001 até 20000,1 - Norte
PA,Quatipuru,13794,3 - 10001 até 20000,1 - Norte
PA,Redenção,86326,5 - 50001 até 100000,1 - Norte
PA,Rio Maria,18208,3 - 10001 até 20000,1 - Norte
PA,Rondon do Pará,53242,5 - 50001 até 100000,1 - Norte
PA,Rurópolis,52473,5 - 50001 até 100000,1 - Norte
PA,Salinópolis,41164,4 - 20001 até 50000,1 - Norte
PA,Salvaterra,24392,4 - 20001 até 50000,1 - Norte
PA,Santa Bárbara do Pará,21811,4 - 20001 até 50000,1 - Norte
PA,Santa Cruz do Arari,10496,3 - 10001 até 20000,1 - Norte
PA,Santa Izabel do Pará,72856,5 - 50001 até 100000,1 - Norte
PA,Santa Luzia do Pará,19839,3 - 10001 até 20000,1 - Norte
PA,Santa Maria das Barreiras,22244,4 - 20001 até 50000,1 - Norte
PA,Santa Maria do Pará,25127,4 - 20001 até 50000,1 - Norte
PA,Santana do Araguaia,75995,5 - 50001 até 100000,1 - Norte
PA,Santarém,308339,6 - 100001 até 500000,1 - Norte
PA,Santarém Novo,6796,2 - 5001 até 10000,1 - Norte
PA,Santo Antônio do Tauá,32346,4 - 20001 até 50000,1 - Norte
PA,São Caetano de Odivelas,18207,3 - 10001 até 20000,1 - Norte
PA,São Domingos do Araguaia,25945,4 - 20001 até 50000,1 - Norte
PA,São Domingos do Capim,32285,4 - 20001 até 50000,1 - Norte
PA,São Félix do Xingu,135732,6 - 100001 até 500000,1 - Norte
PA,São Francisco do Pará,15978,3 - 10001 até 20000,1 - Norte
PA,São Geraldo do Araguaia,24566,4 - 20001 até 50000,1 - Norte
PA,São João da Ponta,6294,2 - 5001 até 10000,1 - Norte
PA,São João de Pirabas,23440,4 - 20001 até 50000,1 - Norte
PA,São João do Araguaia,14105,3 - 10001 até 20000,1 - Norte
PA,São Miguel do Guamá,60268,5 - 50001 até 100000,1 - Norte
PA,São Sebastião da Boa Vista,27302,4 - 20001 até 50000,1 - Norte
PA,Sapucaia,6088,2 - 5001 até 10000,1 - Norte
PA,Senador José Porfírio,11305,3 - 10001 até 20000,1 - Norte
PA,Soure,25752,4 - 20001 até 50000,1 - Norte
PA,Tailândia,111554,6 - 100001 até 500000,1 - Norte
PA,Terra Alta,11971,3 - 10001 até 20000,1 - Norte
PA,Terra Santa,19063,3 - 10001 até 20000,1 - Norte
PA,Tomé-Açu,64604,5 - 50001 até 100000,1 - Norte
PA,Tracuateua,31549,4 - 20001 até 50000,1 - Norte
PA,Trairão,19344,3 - 10001 até 20000,1 - Norte
PA,Tucumã,40661,4 - 20001 até 50000,1 - Norte
PA,Tucuruí,116605,6 - 100001 até 500000,1 - Norte
PA,Ulianópolis,62286,5 - 50001 até 100000,1 - Norte
PA,Uruará,45395,4 - 20001 até 50000,1 - Norte
PA,Vigia,54650,5 - 50001 até 100000,1 - Norte
PA,Viseu,62093,5 - 50001 até 100000,1 - Norte
PA,Vitória do Xingu,15421,3 - 10001 até 20000,1 - Norte
PA,Xinguara,45416,4 - 20001 até 50000,1 - Norte
AP,Serra do Navio,5577,2 - 5001 até 10000,1 - Norte
AP,Amapá,9265,2 - 5001 até 10000,1 - Norte
AP,Pedra Branca do Amapari,17625,3 - 10001 até 20000,1 - Norte
AP,Calçoene,11493,3 - 10001 até 20000,1 - Norte
AP,Cutias,6217,2 - 5001 até 10000,1 - Norte
AP,Ferreira Gomes,8151,2 - 5001 até 10000,1 - Norte
AP,Itaubal,5730,2 - 5001 até 10000,1 - Norte
AP,Laranjal do Jari,52302,5 - 50001 até 100000,1 - Norte
AP,Macapá,522357,7 - Maior que 500000,1 - Norte
AP,Mazagão,22468,4 - 20001 até 50000,1 - Norte
AP,Oiapoque,28534,4 - 20001 até 50000,1 - Norte
AP,Porto Grande,22927,4 - 20001 até 50000,1 - Norte
AP,Pracuúba,5370,2 - 5001 até 10000,1 - Norte
AP,Santana,124808,6 - 100001 até 500000,1 - Norte
AP,Tartarugalzinho,18217,3 - 10001 até 20000,1 - Norte
AP,Vitória do Jari,16572,3 - 10001 até 20000,1 - Norte
TO,Abreulândia,2609,1 - Até 5000,1 - Norte
TO,Aguiarnópolis,7049,2 - 5001 até 10000,1 - Norte
TO,Aliança do Tocantins,5303,2 - 5001 até 10000,1 - Norte
TO,Almas,6905,2 - 5001 até 10000,1 - Norte
TO,Alvorada,8381,2 - 5001 até 10000,1 - Norte
TO,Ananás,9435,2 - 5001 até 10000,1 - Norte
